"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
0.0266666666666667,0.0316666666666667,0.0177777777777778,0.0158333333333333,0.01,0.0416666666666667,0.0714285714285714,0.08375,0.0892592592592593,0.107666666666667,0.117272727272727,0.124166666666667
0,0.00833333333333333,0.0133333333333333,0.0141666666666667,0.0186666666666667,0.0194444444444444,0.0233333333333333,0.0304166666666667,0.0288888888888889,0.0313333333333333,0.033030303030303,0.0311111111111111
1,0.978333333333333,0.914444444444444,0.923333333333333,0.934666666666667,0.905555555555556,0.853809523809524,0.8125,0.77037037037037,0.726333333333333,0.705757575757576,0.660833333333333
0,0.0233333333333333,0.00333333333333333,0.00666666666666667,0.00333333333333333,0.00444444444444444,0.00238095238095238,0.00291666666666667,0.00296296296296296,0.005,0.0106060606060606,0.0161111111111111
0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0358333333333333,0.0273333333333333,0.0166666666666667,0.0242857142857143,0.03625,0.0544444444444444,0.073,0.105757575757576,0.131666666666667
0,0.0133333333333333,0.0122222222222222,0.0133333333333333,0.0173333333333333,0.0166666666666667,0.0247619047619048,0.0204166666666667,0.0181481481481481,0.022,0.0193939393939394,0.0355555555555556
0.613333333333333,0.638333333333333,0.598888888888889,0.543333333333333,0.527333333333333,0.517777777777778,0.509047619047619,0.504583333333333,0.508888888888889,0.521,0.523939393939394,0.530833333333333
0,0,0.00333333333333333,0.0025,0.016,0.0411111111111111,0.0652380952380952,0.104583333333333,0.148888888888889,0.216,0.243030303030303,0.278611111111111
0,0,0,0.00333333333333333,0.000666666666666667,0.00222222222222222,0.00571428571428571,0.00875,0.00666666666666667,0.008,0.00757575757575758,0.0075
0.186666666666667,0.0766666666666667,0.0933333333333333,0.114166666666667,0.138,0.134444444444444,0.101904761904762,0.0870833333333333,0.0840740740740741,0.075,0.0809090909090909,0.0888888888888889
0,0.0366666666666667,0.0444444444444444,0.0508333333333333,0.0473333333333333,0.0461111111111111,0.0514285714285714,0.04375,0.04,0.0533333333333333,0.0454545454545455,0.0488888888888889
0.223333333333333,0.171666666666667,0.137777777777778,0.138333333333333,0.116,0.0994444444444444,0.0780952380952381,0.0925,0.0818518518518519,0.0663333333333333,0.0839393939393939,0.0772222222222222
0,0.0116666666666667,0.00888888888888889,0.0166666666666667,0.00733333333333333,0.00833333333333333,0.0166666666666667,0.0416666666666667,0.0688888888888889,0.087,0.113636363636364,0.132777777777778
1,0.853333333333333,0.77,0.743333333333333,0.722666666666667,0.710555555555556,0.73047619047619,0.7125,0.708888888888889,0.734,0.738787878787879,0.758055555555556
0.02,0.143333333333333,0.285555555555556,0.344166666666667,0.387333333333333,0.471111111111111,0.487619047619048,0.56375,0.600740740740741,0.617,0.624848484848485,0.649722222222222
0.713333333333333,0.676666666666667,0.617777777777778,0.603333333333333,0.568666666666667,0.508888888888889,0.494761904761905,0.477083333333333,0.465925925925926,0.462,0.490909090909091,0.465555555555556
0.0133333333333333,0.00833333333333333,0.01,0.0116666666666667,0.0713333333333333,0.104444444444444,0.138095238095238,0.16125,0.18,0.175666666666667,0.188484848484848,0.189722222222222
0,0.0116666666666667,0.0166666666666667,0.015,0.036,0.0338888888888889,0.0280952380952381,0.0229166666666667,0.0292592592592593,0.028,0.0224242424242424,0.0216666666666667
0,0.0133333333333333,0.0344444444444444,0.0416666666666667,0.0393333333333333,0.0316666666666667,0.0495238095238095,0.0645833333333333,0.082962962962963,0.1,0.0954545454545455,0.100277777777778
1,1,0.995555555555556,0.9275,0.824666666666667,0.738888888888889,0.692857142857143,0.624583333333333,0.594444444444444,0.530333333333333,0.466666666666667,0.436111111111111
0.0933333333333333,0.0783333333333333,0.06,0.0541666666666667,0.048,0.0533333333333333,0.0571428571428571,0.06,0.0492592592592593,0.0526666666666667,0.0518181818181818,0.0530555555555556
0.996666666666667,0.703333333333333,0.576666666666667,0.51,0.441333333333333,0.412222222222222,0.403333333333333,0.37625,0.363333333333333,0.340666666666667,0.328484848484848,0.358888888888889
0.956666666666667,0.728333333333333,0.637777777777778,0.580833333333333,0.556,0.503888888888889,0.487619047619048,0.484166666666667,0.446296296296296,0.442333333333333,0.441818181818182,0.433611111111111
0.0233333333333333,0.015,0.0311111111111111,0.095,0.208,0.302777777777778,0.383809523809524,0.447916666666667,0.488148148148148,0.516666666666667,0.546060606060606,0.551666666666667
0.97,0.978333333333333,0.963333333333333,0.904166666666667,0.831333333333333,0.796666666666667,0.742380952380952,0.705,0.691851851851852,0.670333333333333,0.687272727272727,0.691944444444444
